start_orig_id,type,end_orig_id,since,context,strength
p001,WORKS_WITH,p005,2021-03-01,graph-embeddings,0.82
p001,WORKS_WITH,p006,2020-11-12,trajectory-analytics,0.76
p002,WORKS_WITH,p008,2019-07-22,network-stack,0.88
p002,WORKS_WITH,p009,2020-02-14,consistency-protocols,0.74
p003,MENTORS,p001,2019-06-10,compiler-design,0.90
p003,MENTORS,p006,2020-05-03,data-modeling,0.86
p004,MANAGES,p001,2020-08-21,flight-platform,0.95
p004,MANAGES,p006,2020-09-01,mission-analytics,0.93
p004,REPORTS_TO,p010,2020-08-20,program-governance,0.99
p005,WORKS_WITH,p010,2021-04-19,web-standards-ml,0.67
p005,COLLABORATES_ON,p003,2021-10-02,language-theory,0.71
p006,WORKS_WITH,p008,2019-12-05,distributed-telemetry,0.69
p007,ADVISES,p009,2017-03-18,algorithmic-abstractions,0.77
p008,MENTORS,p002,2018-05-16,secure-routing,0.84
p008,WORKS_WITH,p009,2019-09-09,distributed-systems,0.81
p009,REPORTS_TO,p010,2014-12-04,research,0.98
p009,WORKS_WITH,p003,2016-11-15,program-analysis,0.73
p010,SPONSORS,p001,2019-04-30,open-data,0.66
p010,SPONSORS,p008,2018-06-20,interop,0.64
p001,PEER_OF,p002,2019-10-07,kernel-interfaces,0.70
p006,PEER_OF,p005,2020-03-30,modeling,0.68
p002,REPORTS_TO,p009,2018-06-01,research-group,0.92
p003,ADVISES,p010,2015-01-12,standards-review,0.60
p007,RETIREMENT_OF,p007,2015-02-17,emeritus-status,1.00
